Device ID	Device Name	Device Platform
00008947-C6E8FA409DCD9AAE	pywZj4y1GW8bTJDicntUyOh6GUIycXec6Fd72donV75T	ios
f85b2d948f7bf0047405a5814d7782c96d7c7831	GxibnK7BUJnamIZaCor	ios
9354328a3069d7482ddbb22ccbc20e4932e0bd6c	4jpyIxjjeeHmrC	ios
3778184e-0cc6-f874-814f-e89dc50b73f2	TR2ZVXBpkcG08MnYnl	mac
af7bdb21-ff40-9732-11a8-4a7538ecd146	GjfndkCoBq	mac
94ca0ffe078426a39ea21f971a671085b6237bbb	nXeebn0vW7COPsyTUEn34K3cKNKXNSex91pqt4gnV0gn5Yx	ios
41e7166106b32b04360c44ebeed11b795e769cc2	NEdhvMxJfrn0DRX5lxttMrsi	ios
00008945-0C477977F5DA8A64	xAmT9TgMrdu1SfSa1SuiDYtt1aybB	ios
00008942-908F7451A6A70605	Fu48jJknK4wCgq4	ios
452ca383-867f-252d-63db-55ae2560e50e	itMR9SkTnN66Od3EWWEd2FhuS	mac
1aeb20f5-da9e-cbda-0eec-101ae5a4769a	hMYApcI5zzyA1DPzpdwNyRC5ZlQ7T82qie6XUZSuviVL4qsU7	mac
802fe54c-a06f-491e-8b1c-3ce4c2534b3d	o2rIvw7V7Qsz0	mac
890fc479-c419-f057-a357-5ed7b71c53d1	fBj5PFu791XSie	mac
6cb8dd40-26ee-44a5-223f-619dcbc35088	pwQd6CEZSQSZ0	mac
6382a059-bc22-e412-591a-fd8ab6ca9250	FOcMiNRgSUZ4F6lcl13gTne6GpkWJ38mth	mac
00008945-1169E974161B2563	b	ios
65fe21aa444814094066de354cdb258acb0d7059	HCbzhQL20CAFq9hDdoP0o0tFUUIoqXP	ios
aaf7f3bd20a7bf2a6b858f5f9e931c56245bf6b0	LLPQ7GZhbVbgDYM3MXDyuYpJ3	ios
7c109590-d6b8-a826-3716-58746732499b	2HzZSMl1mrmsBHxntuJ0s0bzYwEkv6AfOQ	mac
6e151997bd258a75cbaba89d180bed8068c9f995	ZuhugLJBMe2rWFxn50tiEF1pv990SpGlspESjuf	ios
390f5bd2-cf4f-6d29-b54b-acb20e06c124	1LnEER6c7ntvskt9kup8qBPIs7YaHcH3Q	mac
